avgBuildLatency,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
1.0833,3,0.0299,0,0,5,26,Travis,alpine-oraclejdk8
1.0833,5,0.5667,112,3.6667,17.3333,11,Docker,alpine
1.0833,17,20.9747,0,2,8.5,69,Circle,alpine
1.08333333,5,8.7011,0,2,12,28,Travis,alpine
1.08485455,10,72.4841,0,0,5,205,Circle,alpine
1.08886667,4,314.648,50,3,16,45,Docker,alpine
1.09165,8,98.1166,0,8.6,12,267,Circle,ruby
1.09997778,0,73.9178,0,3.8,10.4,49,Circle,alpine
1.1,0,0.0356,16,1,5,8,Docker,alpine
1.1,1,170.01,0,3.15,21.8,277,Circle,ubuntu
1.1,4,20.9747,0,2,8.5,69,Circle,alpine
1.1,6,345.606,0,6.7778,18.5556,102,Travis,ubuntu
1.1,13,237.925,0,2,5,144,Travis,alpine-node
1.1,29,0.003,14,1,7,13,Docker,alpine
1.104175,0,0.037,81,0,13,28,Docker,alpine
1.10666,2,139.006,0,10,46,174,Travis,ubuntu
1.1139,0,0.028,48,1,2,65,Docker,mu-ruby-template
1.11481111,2,226.105,0,1,9.1818,372,Travis,node
1.11667333,1,97.927,0,9.5,15,111,Circle,baseimage
1.11795385,17,3.4829,0,3.5,44,222,Circle,base-jdk
1.13167,5,72.4841,0,0,5,205,Circle,alpine
1.1333,2,29.8851,0,0,5,102,Circle,busybox
1.1333,6,0.037,41,2,9,37,Docker,java
1.1333,7,170.01,0,3.15,21.8,277,Circle,ubuntu
1.13430588,5,20.9747,0,2,8.5,69,Circle,alpine
1.14102308,0,489.985,0,0.9091,7.4545,284,Travis,node
1.14165,19,72.4841,0,0,5,205,Circle,alpine
1.1417,1,761.761,0,9,9,436,Travis,golang
1.14242727,3,0.0393,0,1.5,2.5,31,Travis,nginx
1.14880714,0,526.678,0,1,36.3333,46,Travis,alpine
1.15466,0,0.0464,0,2.7143,8.7143,43,Circle,alpine
1.15588824,6,72.4841,0,0,5,205,Circle,alpine
1.16,0,1.5897,0,1,18,69,Circle,node
1.16663333,12,0.028,48,1,2,65,Docker,mu-ruby-template
1.16666667,5,27.9165,33,1,33.5,38,Docker,alpine-nginx
1.1667,5,237.925,0,2,5,144,Travis,alpine-node
1.1667,6,0.5667,112,3.6667,17.3333,11,Docker,alpine
1.1667,16,0.0004,137,3,3,1,Docker,prometheus
1.175,13,72.4841,0,0,5,205,Circle,alpine
1.17666667,0,427.177,0,1,18.8571,300,Travis,node
1.179175,3,17.2326,0,2,5,26,Circle,golang
1.18334,5,0.0632,0,1,17,8,Travis,rpi-alpine
1.1889,1,537.457,0,1.6667,2.6667,355,Travis,nginx
1.18976999,0,44.7265,0,1,8.7436,1582,Circle,alpine
1.2,7,28.0398,0,1.3333,5,91,Circle,alpine
1.2077,9,82.9521,0,1,7.5,927,Travis,lewis-depends
1.2083,5,0.028,48,2,4,65,Docker,mu-ruby-template
1.20835,17,0.0595,0,2.5,7,135,Circle,node
1.21664,1,521.417,0,1,10.5,141,Travis,node
1.21666486,1,432.097,0,1,10,393,Travis,python
1.21666667,22,341.808,0,0.25,3,50,Circle,scratch
1.2167,13,686.942,0,2,3,117,Travis,nginx
1.21970909,1,226.105,0,1,9.1818,372,Travis,node
1.22591111,2,618.774,0,1.7143,14.7143,418,Circle,busybox
1.22842353,0,618.774,0,1.7143,14.7143,418,Circle,busybox
1.23,5,0.555,0,1,17,28,Travis,rpi-alpine
1.23240556,10,82.9521,0,1,7.5,927,Travis,lewis-depends
1.2333,8,29.8851,0,0,6,102,Circle,busybox
1.2333,12,218.159,0,2,18,211,Travis,haproxy
1.2333,15,0.0595,0,2.5,7,135,Circle,node
1.2333,17,28.0398,0,1.3333,5,91,Circle,alpine
1.2381,1,139.006,0,10,46,174,Travis,ubuntu
1.24165,8,218.159,0,2,18,211,Travis,haproxy
1.25,8,170.01,0,3.15,21.8,277,Circle,ubuntu
1.25175263,0,226.105,0,1,9.1818,372,Travis,node
1.25769231,3,29.8851,0,0,5,102,Circle,busybox
1.25835,0,0.0251,27,0,2,64,Docker,php
1.26111667,1,6.7559,0,1,10.3333,69,Travis,openjdk
1.262475,16,0.0035,243,1,22,27,Docker,alpine
1.26563125,0,0.0033,18,1.3846,11.9231,13,Docker,alpine
1.26666296,3,432.097,0,1,10,393,Travis,python
1.26666667,0,0.001,11,2,12.5,4,Docker,alpine
1.266675,2,0.555,0,1,17,28,Travis,rpi-alpine
1.2667,1,13.8373,0,2,9,75,Circle,node
1.2667,6,0.555,0,1,17,28,Travis,rpi-alpine
1.26875,0,0.0282,0,1.5,5.625,24,Travis,alpine
1.26943333,2,432.097,0,1,10,393,Travis,python
1.27436154,0,36.0031,0,0.5,2.75,36,Travis,node
1.275,1,0.0963,0,1,7,21,Circle,golang
1.27618571,1,72.4841,0,1,5,205,Circle,alpine
1.2833,3,0.0072,128,2,6,3,Docker,debian
1.29166667,2,686.942,0,2,3,117,Travis,nginx
1.2926,12,82.9521,0,2,9.6667,927,Travis,lewis-depends
1.29443333,8,139.006,0,10,46,174,Travis,ubuntu
1.295825,1,0.0898,0,0,9.3333,41,Travis,openjdk
1.29912105,0,1.9494,0,3,7,31,Travis,node
1.29999167,3,123.587,0,0,4,77,Circle,nginx
1.3,0,686.942,0,2,3,117,Travis,nginx
1.30097647,0,537.457,0,1.6667,2.6667,355,Travis,nginx
1.30835,3,0.0963,0,1,7,21,Circle,golang
1.3111,10,13.8373,0,1,12.3333,75,Circle,node
1.31667143,0,0.3279,21,1.8571,3.1429,17,Docker,busybox
1.3167,13,204.008,0,6,17,448,Travis,nginx
1.3167,19,29.8851,0,0,6,102,Circle,busybox
1.32108485,0,21.8894,0,2,5,364,Circle,alpine
1.32223333,0,13.8373,0,1,5,75,Circle,node
1.325,1,0.0282,0,1,6.5,24,Travis,alpine
1.33056667,6,218.159,0,2,18,211,Travis,haproxy
1.33095714,0,286.854,0,2,5,355,Travis,busybox
1.3333,3,0.0097,48,2,3,54,Docker,cedarish
1.3333,6,0.0155,0,1,17,9,Travis,rpi-alpine
1.3333,12,123.565,0,0,6.3333,52,Circle,node
1.33333333,21,341.808,0,0.25,3,50,Circle,scratch
1.33667333,0,0.099,0,1,4,13,Travis,archlinux
1.337475,0,97.8665,0,0.75,15.25,52,Circle,alpine
1.33886667,11,0.0004,137,3,3,1,Docker,prometheus
1.341675,7,17.2326,0,2,5,26,Circle,golang
1.34446667,14,0.0004,137,3,3,1,Docker,prometheus
1.34668,2,0.0632,0,1,17,8,Travis,rpi-alpine
1.34920238,2,72.4841,0,0,5,205,Circle,alpine
1.35,1,36.0031,0,0.5,2.75,36,Travis,node
