nDockerfileChanges,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
1,2,0.0139,13,5,5,14,Docker,ubuntu
1,5,0.0143,18,3,11,8,Docker,maven-test
1,7,0.0143,18,3,11,8,Docker,maven-test
1,9,0.0143,18,3,11,8,Docker,maven-test
1,5,0.0151,13,6,43,10,Docker,debian
2,3,0.0155,0,1,17,9,Travis,rpi-alpine
1,1,0.0164,108,1,14,16,Docker,alpine
1,11,0.0164,108,1,11,16,Docker,alpine
1,1,0.0171,21,5,15,29,Docker,ubuntu
1,3,0.0171,21,5,16,29,Docker,ubuntu
1,8,0.0171,21,5,18.6,29,Docker,ubuntu
2,11,0.0171,21,5,22,29,Docker,ubuntu
1,2,0.0172,11,2,7,18,Docker,baseimage
1,7,0.0172,11,2,7,18,Docker,baseimage
2,1,0.0183,143,0,3,21,Docker,alpine
1,21,0.0183,15,5,12,13,Docker,oracle-java
1,4,0.02,28,1,38,22,Docker,java
5,1,0.0217,18,2.8889,50.1111,23,Docker,baseimage
1,5,0.0217,18,1,37,23,Docker,baseimage
1,4,0.022,0,2,35,36,Travis,alpine
1,0,0.0251,27,0,2,64,Docker,php
3,3,0.0253,12,2,11,8,Docker,alpine
1,5,0.0253,12,2,11,8,Docker,alpine
2,1,0.0278,0,5,15,20,Travis,python
1,4,0.0278,0,5,15,20,Travis,python
2,11,0.028,48,1,2,65,Docker,mu-ruby-template
1,15,0.028,48,1,3,65,Docker,mu-ruby-template
2,26,0.028,48,1,3,65,Docker,mu-ruby-template
1,1,0.0282,17,4.8,24.8,5,Docker,ubuntu
1,0,0.0292,49,1,2,47,Docker,dockerui
1,10,0.0299,0,1,5,26,Travis,alpine-oraclejdk8
2,1,0.0324,0,1,7,70,Travis,node
1,4,0.0356,16,1,10,8,Docker,alpine
1,10,0.037,81,0,15,28,Docker,alpine
1,4,0.0386,69,1,10,34,Docker,baseimage
1,13,0.0386,69,1,10,34,Docker,baseimage
3,1,0.0439,27,1,7.4444,20,Docker,alpine
1,9,0.0439,27,1,7,20,Docker,alpine
3,0,0.0512,17,0,4.6667,13,Docker,nginx
1,1,0.0549,77,1,10,61,Docker,golang
2,2,0.0632,0,1,17,8,Travis,rpi-alpine
2,1,0.0638,182,4,19,49,Docker,baseimage-oraclejdk
1,2,0.0638,182,4,19,49,Docker,baseimage-oraclejdk
3,3,0.0638,182,4,19,49,Docker,baseimage-oraclejdk
1,5,0.0638,182,3,19,49,Docker,baseimage-oraclejdk
4,6,0.0638,182,3,19,49,Docker,baseimage-oraclejdk
1,8,0.0638,182,4,19,49,Docker,baseimage-oraclejdk
2,9,0.0638,182,4,19,49,Docker,baseimage-oraclejdk
2,11,0.0638,182,4,20.3333,49,Docker,baseimage-oraclejdk
3,13,0.0638,182,4,21,49,Docker,baseimage-oraclejdk
4,14,0.0638,182,4,21,49,Docker,baseimage-oraclejdk
2,2,0.0715,27,3,9,12,Docker,mongodb-mms-agent-base
1,5,0.0715,27,1,7,12,Docker,mongodb-mms-agent-base
2,6,0.0715,27,1,7,12,Docker,mongodb-mms-agent-base
1,7,0.0715,27,1,7,12,Docker,mongodb-mms-agent-base
1,1,0.0758,25,5,13,5,Docker,ubuntu-debootstrap
1,3,0.0773,296,40,142,226,Docker,debian-debootstrap
1,4,0.0773,296,40,142.5,226,Docker,debian-debootstrap
1,1,0.084,11,0.2,3.8,5,Docker,influxdb
1,3,0.084,11,0,4,5,Docker,influxdb
1,14,0.0855,173,1,21,48,Docker,alpine-glibc
1,18,0.0855,173,1,21,48,Docker,alpine-glibc
2,1,0.0963,0,1,7,21,Circle,golang
1,1,0.1041,0,22.2857,27.8571,46,Circle,ubuntu
2,4,0.1041,0,24,30,46,Circle,ubuntu
3,6,0.1041,0,24,30,46,Circle,ubuntu
3,10,0.1041,0,27,32,46,Circle,ubuntu
1,1,0.1057,152,3,7,22,Docker,mesos
1,2,0.1057,152,3,7,22,Docker,mesos
1,5,0.1057,152,2,7,22,Docker,mesos
2,6,0.1057,152,2,7,22,Docker,mesos
2,1,0.1092,19,5.4,10.6,18,Docker,nginx
1,1,0.1397,0,1,28.6667,22,Travis,alpine
4,2,0.1397,0,1,31.5,22,Travis,alpine
1,12,0.1397,0,1,50,22,Travis,alpine
1,1,0.1637,12,3.3333,17.3333,13,Docker,jenkins
6,1,0.1731,0,1,26,95,Circle,debian
