nErrorBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
3,0,380.563,0,0.75,8.75,327,Travis,python
7,0,380.846,0,1,9,118,Travis,java
22,0,387.764,0,0,3,152,Travis,node
10,0,394.062,0,3,5,68,Circle,None
6,0,398.136,0,9,17,521,Circle,docker-perl-app-base
2,0,424.04,0,6.5455,25,75,Travis,buildroot_basic
1,0,427.735,0,0,7,101,Travis,java
5,0,430.951,0,1,4.6667,203,Circle,scratch
15,0,433.042,0,6.5,14,823,Travis,golang
12,0,434.822,0,2,3,162,Circle,nginx
1,0,438.017,0,4.6,16.2,112,Travis,node
10,0,442.618,0,10.8462,53.2308,105,Travis,arm-pyinstaller
6,0,458.166,0,2.875,5.875,1837,Circle,meteor-base
2,0,459.57,0,0.6667,4,442,Travis,nginx
7,0,468.727,778,6.1,38,35,Docker,nginx
9,0,480.912,0,4.75,17.5,111,Circle,node
19,0,491.425,0,0,10,164,Circle,node
2,0,493.228,0,4.25,20.5,266,Circle,meteor-base
5,0,500.026,0,9.9355,19.4194,85,Circle,diaspora-docker
1,0,500.114,0,6.6667,26.5,173,Travis,python
2,0,502.771,29,7.2727,11.1818,45,Docker,ubuntu
49,0,502.981,0,4,15.3333,365,Travis,python
17,0,503.66,0,2.2857,7.8571,159,Travis,openjdk
4,0,511.203,0,3.3333,7.6667,43,Travis,busybox
1,0,513.509,0,1.1111,4.7778,151,Travis,java
2,0,526.678,0,1,36.3333,46,Travis,alpine
2,0,526.864,0,2.0497,8.8261,479,Travis,ubuntu
6,0,535.883,0,4.75,6.25,534,Circle,cymetric-deps
11,0,536.937,0,6.6667,26.6667,489,Circle,python
2,0,537.457,0,1.6667,2.6667,355,Travis,nginx
1,0,538.076,0,3.3333,12.6667,199,Travis,openjdk
5,0,540.94,0,1.5,5,176,Travis,openjdk
3,0,544.72,0,4.75,12.5,657,Circle,meteor-base
4,0,550.778,0,0,6.5,936,Circle,node
9,0,568.072,0,1.8571,48.4286,808,Travis,java
2,0,573.165,0,1.5,33.75,1461,Travis,debian
32,0,582.039,0,5.6216,42.2162,4710,Travis,debian
2,0,587.536,60,9.5294,27.1765,21,Docker,debian
33,0,618.774,0,1.7143,14.7143,418,Circle,busybox
8,0,619.935,0,2.2222,21.7778,327,Circle,golang
14,0,628.195,0,1.6,3.4,361,Travis,java
7,0,640.72,0,3,14,480,Travis,node
17,0,642.966,0,3.7692,9.2308,387,Travis,jdkydl
5,0,644.631,0,0,8.4444,253,Circle,node
2,0,656.702,0,1,4.2881,802,Travis,java
4,0,668.488,0,4.2632,9.7368,604,Circle,ubuntu
7,0,670.046,0,5,9,85,Circle,ruby
1,0,670.858,0,5.2,27.9,710,Circle,baseimage
1,0,672.059,25,3.2857,15.2857,196,Docker,node
22,0,690.974,0,1,5.8,302,Travis,viws
4,0,701.089,0,8.1667,9.5,832,Travis,golang
3,0,705.232,0,1,27,625,Travis,alpine-java
2,0,721.256,0,4.25,19.3,4412,Circle,base
1,0,734.907,0,1,26.5,2760,Travis,buildenv
8,0,734.948,0,6,10,144,Circle,openjdk
2,0,743.81,0,4.7778,22.9444,167,Travis,python
11,0,755.805,0,0,7.75,185,Circle,python
19,0,756.17,0,1.2222,14.5556,1022,Circle,javajsbase
1,0,758.624,0,1.3333,3,256,Travis,golang
2,0,761.761,0,8.3333,8.8333,436,Travis,golang
3,0,769.139,0,12,29.5,451,Travis,base
43,0,769.393,0,0,3,6476,Travis,pycbc-base-el7
16,0,780.828,0,4.125,17.375,360,Circle,ruby
27,0,786.55,0,4.75,19.5357,2304,Travis,php
8,0,821.945,0,2.6923,7.4615,262,Travis,java
15,0,841.838,0,2,7,436,Circle,node
1,0,843.985,0,1,9,1233,Docker,openjdk
16,0,855.777,0,7.7778,11.2222,330,Circle,java
12,0,860.737,0,1,3,2140,Travis,buildstep
8,0,863.18,0,26,68.9333,1278,Travis,base
81,0,896.422,0,2.9231,19.4615,2981,Travis,base
22,0,897.147,0,0,9.6667,258,Circle,ruby
38,0,900.704,0,0.2381,14.8095,1848,Circle,php
8,0,901.904,0,2,7,372,Circle,node
13,0,903.901,0,0,8,3820,Circle,node
7,0,923.619,0,2,18.3333,1350,Travis,alpine-oraclejdk8
4,0,933.12,0,4.6216,8.4865,215,Travis,ubuntu
12,0,955.066,0,2,7,609,Circle,node
5,0,1036.21,0,1,4,121,Circle,busybox
2,0,1043.6,12,10.9286,15.5714,25,Docker,debian
1,0,1052.01,0,4.7077,17.0462,3338,Travis,<DOCKER_IMAGE>
21,0,1059.15,0,2.7143,6.7143,17849,Circle,build_env
13,0,1089.4,0,1.8571,15,417,Circle,openjdk
6,0,1101.1,0,1.3333,4.8333,1188,Travis,plone
8,0,1116.14,0,1,4,1625,Circle,cyclus
2,0,1153.66,0,2,7,4509,Circle,node
2,0,1183.89,0,3.875,24.375,103,Circle,python
3,0,1211.31,0,2.5161,20.6452,3186,Circle,python
1,0,1253.01,16,3,9,62,Docker,node
124,0,1271.74,0,6,29.5556,15319,Circle,ubuntu
6,0,1274.53,0,6.25,22.75,1684,Travis,ubuntu
11,0,1277.01,0,2.1111,16.3333,6221,Circle,cyclus-deps
2,0,1312.99,0,22.5926,33.0741,51,Travis,ubuntu
3,0,1350.04,0,6.25,10,388,Travis,jetty
14,0,1366.79,0,3.5,4,659,Travis,jetty
6,0,1380.53,0,1,10,336,Circle,ruby
8,0,1575.08,0,0,14,988,Circle,python
4,0,1609.01,0,11.3333,29.6667,164,Travis,debian
1,0,1644.88,0,4.3333,9.8333,509,Travis,debian
2,1,0,0,4.25,13.75,125,Circle,build
12,1,0,0,4,24.3333,923,Circle,ruby
3,1,0,0,21,71.7143,62,Circle,php
4,1,0.0009,0,3,5.75,65,Circle,basebox
4,1,0.001,173,5.6667,15.5,27,Docker,debian
1,1,0.0012,95,1.3333,9.3333,3,Docker,alpine
6,1,0.0013,306,5.5,14.5,8,Docker,ubuntu
1,1,0.0014,17,3,8.4,24,Docker,alpine
2,1,0.0019,0,4,8.8,15,Circle,java
1,1,0.002,187,10,22,1,Docker,apache
1,1,0.002,0,17.0909,56.1818,51,Travis,ubuntu
2,1,0.0021,161,14,27,19,Docker,debian
1,1,0.0022,13,1,5,17,Docker,node
3,1,0.0026,21,0,8.75,18,Docker,alpine
1,1,0.0029,248,1,8,2,Docker,tomcat
2,1,0.003,179,1,20.6667,10,Docker,jenkins-slave
13,1,0.0032,0,2.4762,5.9524,89,Circle,hub-runtime
2,1,0.0032,228,5.25,14.5,61,Docker,debian
2,1,0.0036,79,6,23.6667,60,Docker,debian
4,1,0.0041,295,1,5.5,58,Docker,kgs
2,1,0.0043,22,4.8889,15.5556,22,Docker,nginx-php-fpm
3,1,0.0049,0,5,23,57,Travis,alpine
7,1,0.0055,93,4,8,14,Docker,fast-data-dev
3,1,0.0055,18,10.4615,37.7692,16,Docker,distributed
7,1,0.0057,0,3,16,41,Circle,debian
2,1,0.0075,0,1.5,5,85,Travis,scratch
5,1,0.0086,0,11.25,19.25,852,Circle,docker-perl-app-base
1,1,0.0101,77,6.2143,21.8571,35,Docker,base-debian
1,1,0.0115,20,4,11,6,Docker,ubuntu
10,1,0.013,34,0.3846,12.1538,27,Docker,node
23,1,0.0133,0,1,3,158,Circle,jessy
7,1,0.0162,0,1,12,23,Circle,node
5,1,0.0163,17,5,34,11,Docker,alpine
2,1,0.0177,0,5.5714,12.7857,32,Travis,fedora
1,1,0.0188,377,2,4,1,Docker,debian
1,1,0.0217,18,2.8889,50.1111,23,Docker,baseimage
3,1,0.0233,118,5,6,21,Docker,debian
4,1,0.0246,82,2,15.5833,110,Docker,ubuntu
6,1,0.0258,32,4.6667,15.3333,34,Docker,ubuntu
4,1,0.0322,0,1,12.6667,69,Circle,alpine
7,1,0.037,41,3.7143,17.2857,37,Docker,java
5,1,0.0376,31,4.375,32.25,26,Docker,ubuntu
4,1,0.04,254,2.2727,28.1818,36,Docker,php
39,1,0.0404,207,8.6364,56,26,Docker,cuda
2,1,0.0411,88,3,11,3,Docker,frankenlibc
8,1,0.0464,30,9,36,13,Docker,php
2,1,0.0489,14,24.5,36,18,Docker,ubuntu
1,1,0.0512,17,0,4.6667,13,Docker,nginx
1,1,0.0514,0,3,13,25,Circle,debian
37,1,0.0524,0,18,49.6667,133,Travis,ubuntu
3,1,0.0545,0,5,33,30,Circle,ubuntu
11,1,0.0595,0,2,7.2,135,Circle,node
1,1,0.0617,213,1,8,3,Docker,cflinuxfs2
7,1,0.0649,82,4,8,9,Docker,alpine
6,1,0.0655,21,3.2,12.4,15,Docker,centos
2,1,0.0703,25,17,70.6667,84,Docker,maven
31,1,0.0773,296,39.6429,133.643,226,Docker,debian-debootstrap
2,1,0.0832,39,27.5,48,55,Docker,ubuntu
12,1,0.0855,173,1,15.1875,48,Docker,alpine-glibc
1,1,0.0898,0,0,9.3333,41,Travis,openjdk
2,1,0.1041,0,22.2857,27.8571,46,Circle,ubuntu
3,1,0.1137,0,4,28,46,Travis,ubuntu
28,1,0.1232,0,3,5,194,Circle,nginx
2,1,0.1307,0,1.25,6.75,34,Circle,result-processing
3,1,0.1731,0,1,26,95,Circle,debian
1,1,0.1751,330,9.5,11.5,4,Docker,nginx
38,1,0.1996,0,7.5517,23.7586,447,Circle,passenger-ruby21
6,1,0.2264,0,6.1875,37.5625,49,Travis,ubuntu
1,1,0.3458,41,3,7.3333,19,Docker,spark-base
10,1,0.709,0,0,8.8571,48,Circle,node
26,1,0.8822,0,2,7,57,Circle,nodejs
11,1,0.9345,0,2,18.5,1123,Circle,centos
6,1,1.0073,0,0,1.3333,66,Circle,rails
2,1,1.1321,0,2.8421,6.4737,82,Circle,python
32,1,1.1784,0,8.1818,24,110,Circle,ubuntu
11,1,1.3991,0,1.5,5.5,87,Circle,jessiej
9,1,1.5431,0,1,8,38,Circle,ruby-base
1,1,1.5897,0,7,22,69,Circle,node
4,1,1.8103,0,0,12.6667,54,Circle,node
7,1,1.9021,144,10.4211,12.5263,59,Docker,mercury-depend
1,1,1.9786,0,1,2,93,Travis,nginx
1,1,1.9942,0,7,21.75,153,Circle,debian
10,1,2.1497,0,4.6667,14.3333,47,Circle,core-box
2,1,2.3135,0,1,3.6,36,Circle,tomcat
6,1,2.7616,106,4,7.4,165,Docker,nginx
1,1,2.882,61,11,32.1667,12,Docker,alpn-consul
12,1,3.4829,0,6,32.625,222,Circle,base-jdk
2,1,3.5673,0,2,9,126,Circle,node
11,1,3.7152,0,7,13.0769,155,Circle,wiley
2,1,4.1889,0,5.5,7,35,Circle,ubuntu
5,1,4.3663,0,3.125,7.875,134,Travis,mono
2,1,4.4008,0,3.5,26,100,Travis,debian
9,1,4.5204,0,1.5556,10.3333,118,Circle,alpine-node
12,1,4.8695,0,0,6.25,110,Circle,golang
1,1,5.0017,87,3,15,107,Docker,java
26,1,5.1926,0,2,4,244,Circle,wildfly
1,1,5.4865,0,10.8,12,32,Travis,debian
2,1,5.5451,0,1,4,110,Travis,java
24,1,6.9593,0,1,2,232,Circle,nginx
26,1,7.0563,0,3,17.625,130,Circle,alpine-base
63,1,7.0611,0,1,6,684,Circle,basejava
13,1,7.1077,0,3.3333,6.25,146,Travis,alpine-java
9,1,7.6219,0,24.8,54.6,174,Circle,ubuntu
58,1,7.9905,0,3,8,244,Circle,basebottle
10,1,8.0164,0,3.5714,37.2857,197,Travis,ubuntu
55,1,8.0457,0,1.5,7.5,128,Travis,node
12,1,8.1562,0,0,7.0909,616,Circle,node
1,1,8.7011,0,1.3333,7.4444,28,Travis,alpine
12,1,10.2867,0,3,7.3333,55,Circle,nodejs
20,1,10.8772,0,0.4,4.8,62,Circle,java
5,1,12.0208,0,0.6667,5.7778,114,Circle,tomcat
18,1,12.9248,0,11.0909,14.1364,121,Travis,java
4,1,13.5809,0,4.9231,13.1538,161,Circle,baseimage
2,1,14.898,0,6,12,164,Travis,golang
4,1,16.1885,0,5,38.3333,210,Circle,golang
9,1,17.0168,35,2,7.75,49,Docker,nginx
2,1,17.7201,0,1,13,116,Circle,node
1,1,19.93,0,2.6,13.6,88,Circle,alpine
3,1,20.9747,0,2,7,69,Circle,alpine
10,1,21.8894,0,2,5,364,Circle,alpine
2,1,22.912,22,2.0769,10.0769,30,Docker,python
111,1,23.0597,0,2,11,4106,Circle,alpine
4,1,23.1062,143,1,35,239,Docker,ubuntu
2,1,23.1293,0,0.8,3.2,157,Circle,java
9,1,23.8519,0,3.0968,9.3871,190,Travis,alpine-node
28,1,23.8922,0,1,5,323,Travis,openjdk
2,1,23.9849,39,2,4.5,49,Docker,golang
12,1,25.0027,0,1,7,81,Circle,nodejs
17,1,25.0743,0,3,5,323,Circle,nginx
3,1,27.8815,0,1,4,169,Travis,ubuntu
58,1,27.9552,0,1,7,111,Travis,python
5,1,29.0707,0,0,3,112,Circle,jetty
1,1,30.266,111,2.4,4.4,174,Docker,base
7,1,31.9798,36,4,33,42,Docker,centos
8,1,33.9518,0,2,5,98,Circle,node
1,1,34.8089,48,5,18,22,Docker,node
30,1,36.036,0,0,4,1208,Circle,alpine
2,1,37.9017,0,1,8,82,Circle,nodejs
1,1,37.9263,0,2,7,133,Travis,nginx-template-image
43,1,37.9807,0,4,14,108,Circle,baseimage
6,1,39.0562,0,2,14,701,Circle,slidehub-base
4,1,42.0784,0,1,8.2,71,Circle,golang
1,1,44.7265,0,1,8.7436,1582,Circle,alpine
5,1,51.7653,0,7.1111,49.4444,40,Circle,ubuntu
18,1,54.1992,0,0.8571,6.7143,272,Circle,parkmap
3,1,55.7765,57,1,9,92,Docker,golang
39,1,60.9955,0,0,7.75,376,Travis,alpine-node
8,1,62.2769,39,6.25,15.9167,31,Docker,elasticsearch
13,1,62.9529,0,1.625,10.0625,166,Circle,python
55,1,64.9491,0,6,27.6667,1606,Circle,ubuntu
1,1,65.0834,43,1,25.5,383,Docker,node
20,1,70.3905,0,2.4,7,179,Travis,docker-rails
8,1,71.8883,0,1,39.2,285,Circle,fedora
17,1,72.5254,0,1.5,7,55,Circle,erlang18
7,1,73.0325,0,2,4.4,577,Travis,nginx
4,1,75.0452,0,1,10,302,Travis,java
2,1,76.1552,0,7,36,71,Circle,base
1,1,87.0817,0,1,7,51,Travis,rust
8,1,92.7464,0,1,24.125,924,Travis,fpm-nginx
26,1,94.7589,0,3,22,293,Circle,core-box
2,1,97.8665,0,0,18,52,Circle,alpine
8,1,97.927,0,9.5,15,111,Circle,baseimage
12,1,98.0739,0,6,15.5,55,Circle,node
46,1,110.1,0,4.2791,19.3721,1273,Circle,alpine-build
4,1,112.138,0,5.4,21.35,489,Travis,python
1,1,114.074,20,4,45,8,Docker,alpine
18,1,120.021,0,2,8.3333,1847,Circle,ruby
2,1,123.587,0,1,3,77,Circle,nginx
1,1,128.551,0,3,6.25,218,Travis,oracle-jdk
31,1,139.956,0,0,8,363,Circle,busybox
6,1,146.595,0,6,13,273,Travis,websphere-liberty
22,1,151.886,0,20.4615,41.6923,916,Travis,ubuntu
24,1,155.068,0,9.875,13.875,420,Circle,ubuntu
27,1,160.07,0,1,9,562,Travis,node
5,1,164.087,0,0,9.5714,876,Circle,node
9,1,182.067,0,0,8,893,Circle,node
3,1,187.126,0,2.125,6.875,601,Circle,python
1,1,191.968,0,4,11,209,Travis,debian
48,1,198.945,0,3,9.5,621,Travis,ruby
1,1,200.961,0,4,19,762,Circle,alpine-glibc
14,1,202.327,0,0,1.5,242,Travis,python
3,1,204.008,0,4.1071,10.5714,448,Travis,nginx
1,1,212.258,0,0,3,155,Circle,nginx
3,1,217.199,0,3,12.5,400,Travis,websphere-liberty
12,1,218.499,0,1,10.3056,269,Circle,verse
3,1,219.294,0,3,20,162,Circle,core-box
3,1,220.475,0,2,3,609,Circle,meteor-base
74,1,222.737,0,2.1127,14.5,4831,Circle,alpine-java
60,1,224.738,0,1.5,6,2974,Circle,golang
6,1,225.289,0,3,22,99,Circle,core-box
1,1,228.727,0,3,21,51,Circle,core-box
5,1,234.734,0,2.2,7.9,198,Circle,codius.org
1,1,242.423,0,4.0476,24.0952,581,Travis,alpine
1,1,243.077,11,5.375,19,20,Docker,debian
5,1,245.74,0,0,4.5,321,Travis,scratch
15,1,262.027,0,0,6.6,819,Travis,java
5,1,265.887,0,4.25,15.5,47,Circle,core-box
4,1,267.745,0,4.6667,14.3333,181,Circle,core-box
3,1,281.928,0,3,22,126,Circle,core-box
3,1,296.855,0,15,74,141,Travis,baseimage
2,1,301.246,0,2,8.6667,1809,Travis,node
5,1,302.106,0,1,37.8571,238,Circle,debian
2,1,331.064,0,5.0167,61.1667,58,Travis,debian-debootstrap
2,1,345.606,0,6.7778,18.5556,102,Travis,ubuntu
3,1,345.935,0,1,10.6667,421,Circle,alpine
1,1,349.282,0,2,5,196,Travis,java
11,1,353.239,0,1.4286,50.2857,302,Travis,ubuntu
29,1,364.981,0,1,52,723,Travis,ubuntu
1,1,369.967,0,0,9,264,Circle,alpine
2,1,380.563,0,0.75,8.75,327,Travis,python
1,1,380.846,0,1,9,118,Travis,java
69,1,387.764,0,0,3,152,Travis,node
5,1,424.04,0,9.75,44.25,75,Travis,buildroot_basic
6,1,432.097,0,1,10,393,Travis,python
15,1,433.042,0,6.5,14,823,Travis,golang
2,1,434.822,0,2,3,162,Circle,nginx
1,1,459.855,0,5,16,1083,Travis,litiv-base
1,1,468.727,778,6.1,38,35,Docker,nginx
3,1,480.912,0,4.75,17.5,111,Circle,node
4,1,491.425,0,0,10,164,Circle,node
11,1,493.228,0,4.25,20.5,266,Circle,meteor-base
8,1,500.026,0,9.9355,19.4194,85,Circle,diaspora-docker
32,1,502.981,0,4,15.3333,365,Travis,python
3,1,503.66,0,2.2857,7.8571,159,Travis,openjdk
3,1,513.509,0,1.1111,4.7778,151,Travis,java
1,1,526.864,0,2.0497,8.8261,479,Travis,ubuntu
5,1,536.937,0,6.6667,26.6667,489,Circle,python
3,1,538.076,0,3.3333,12.6667,199,Travis,openjdk
2,1,539.112,0,5,9.5,108,Circle,node
2,1,544.72,0,4.75,12.5,657,Circle,meteor-base
19,1,568.072,0,1.8571,48.4286,808,Travis,java
3,1,573.165,0,1.5,33.75,1461,Travis,debian
127,1,582.039,0,9,65.2667,4710,Travis,debian
16,1,587.536,60,9.5294,27.1765,21,Docker,debian
28,1,619.935,0,4,48,327,Circle,golang
7,1,621.278,0,0,7,462,Travis,java
7,1,628.195,0,1.6,3.4,361,Travis,java
2,1,642.966,0,3.7692,9.2308,387,Travis,jdkydl
8,1,644.631,0,0,9,253,Circle,node
9,1,656.702,0,1,4,802,Travis,java
7,1,670.858,0,5.2,27.9,710,Circle,baseimage
3,1,672.059,25,3.2857,15.2857,196,Docker,node
1,1,690.974,0,1,5.8,302,Travis,viws
2,1,717.775,0,0,8.4444,2145,Circle,node
4,1,745.745,0,1,6,171,Circle,golang
12,1,755.805,0,0,12.3333,185,Circle,python
42,1,769.393,0,0,3,6476,Travis,pycbc-base-el7
15,1,786.55,0,11.1667,22.3333,2304,Travis,php
1,1,855.777,0,7.7778,11.2222,330,Circle,java
14,1,860.737,0,1,3,2140,Travis,buildstep
15,1,863.18,0,26,68.9333,1278,Travis,base
108,1,896.422,0,3,22,2981,Travis,base
3,1,897.147,0,0,10,258,Circle,ruby
2,1,900.704,0,0.2381,14.8095,1848,Circle,php
8,1,901.904,0,2,7,372,Circle,node
12,1,903.901,0,0,10,3820,Circle,node
7,1,923.619,0,2,17,1350,Travis,alpine-oraclejdk8
4,1,955.066,0,2,7,609,Circle,node
149,1,1059.15,0,2.7143,6.7143,17849,Circle,build_env
9,1,1101.1,0,5,7,1188,Travis,plone
7,1,1116.14,0,1,4,1625,Circle,cyclus
1,1,1183.89,0,3.875,24.375,103,Circle,python
116,1,1271.74,0,6,29.5556,15319,Circle,ubuntu
9,1,1274.53,0,7,20,1684,Travis,ubuntu
9,1,1277.01,0,2.1111,16.3333,6221,Circle,cyclus-deps
1,1,1366.79,0,3.5,4,659,Travis,jetty
1,1,1392.17,0,2,10.5,876,Travis,scratch
1,1,1575.08,0,0,14,988,Circle,python
3,1,1711.77,24,4,31.5,135,Docker,python
1,2,0,0,4.25,13.75,125,Circle,build
29,2,0,0,2,21.6667,923,Circle,ruby
8,2,0.0013,306,4,14.5,8,Docker,ubuntu
5,2,0.0017,340,2,8.25,14,Docker,debian
2,2,0.0017,60,5,38,32,Docker,ubuntu
2,2,0.0018,162,2,7,9,Docker,systemd
9,2,0.002,187,10,22,1,Docker,apache
2,2,0.002,111,3,6,5,Docker,ubuntu
1,2,0.0022,27,11,19.5,27,Docker,golang
1,2,0.0023,46,6,62,17,Docker,base
1,2,0.0024,18,1,47,25,Docker,ubuntu
26,2,0.0026,123,4,11,2,Docker,debian
1,2,0.0029,754,4,8,6,Docker,gitlab-ce
2,2,0.0032,228,6,16,61,Docker,debian
6,2,0.0036,79,6,25,60,Docker,debian
2,2,0.0039,35,1,35,16,Docker,alpine
1,2,0.0041,122,4.5,3,5,Docker,ubuntu
2,2,0.0041,295,1,5.5,58,Docker,kgs
1,2,0.0049,0,2.0588,21.2941,57,Travis,alpine
1,2,0.0053,288,5,12.5,8,Docker,node
1,2,0.0059,196,1.3333,4,5,Docker,alpine
2,2,0.0059,0,1,9,24,Circle,golang
1,2,0.0064,643,3,10,5,Docker,java
1,2,0.0064,126,5,6,1,Docker,postgres
1,2,0.0069,16,3,7,11,Docker,alpine-openjdk7
1,2,0.0072,128,2,6,3,Docker,debian
2,2,0.0073,16,10,72,13,Docker,debian
4,2,0.0077,57,7,27,59,Docker,jenkernetes
2,2,0.0083,13,6,22.3333,7,Docker,node
1,2,0.0086,0,11.25,19.25,852,Circle,docker-perl-app-base
4,2,0.0097,26,9.4286,23.5714,31,Docker,ubuntu
5,2,0.0098,77,8,90.75,79,Docker,php
5,2,0.0101,77,6.2143,21.8571,35,Docker,base-debian
8,2,0.0104,133,4,7,3,Docker,ubuntu
2,2,0.0114,35,6,47,10,Docker,systemuser
1,2,0.0121,16,6,10.5,5,Docker,baseimage
1,2,0.0129,74,7,21.5,112,Docker,ubuntu
8,2,0.0129,804,1,6,3,Docker,aspnet
1,2,0.0166,69,9,23,7,Docker,ruby23-base
2,2,0.0172,30,1,54,19,Docker,docker-yafrabase
4,2,0.0177,0,8.3235,19.2353,32,Travis,fedora
1,2,0.0186,19,5.5,33.5,3,Docker,ubuntu
1,2,0.0188,377,2,4,1,Docker,debian
1,2,0.037,41,4,14.1667,37,Docker,java
44,2,0.0404,207,8.6364,56,26,Docker,cuda
1,2,0.0439,11,7,12,1,Docker,ubuntu
6,2,0.0439,21,12.625,51.875,34,Docker,debian
4,2,0.0464,0,4,13,43,Circle,alpine
2,2,0.0524,0,18,49.6667,133,Travis,ubuntu
1,2,0.0549,77,0.3333,3.3333,61,Docker,golang
7,2,0.0595,0,2,7.2,135,Circle,node
1,2,0.0632,0,1,17,8,Travis,rpi-alpine
1,2,0.0649,82,4,8,9,Docker,alpine
8,2,0.0773,296,40,142,226,Docker,debian-debootstrap
3,2,0.1041,0,22.2857,27.8571,46,Circle,ubuntu
29,2,0.1232,0,3,5,194,Circle,nginx
4,2,0.139,0,2.4615,11.0769,14,Travis,alpine
2,2,0.1397,0,1,31.5,22,Travis,alpine
2,2,0.1493,152,4,9.6667,4,Docker,java
1,2,0.1751,330,9.5,11.5,4,Docker,nginx
16,2,0.185,0,5,9.25,93,Circle,racket
51,2,0.2394,0,21,19.75,161,Circle,ubuntu-server
8,2,0.3114,0,2.5,16,91,Circle,debian
1,2,0.3458,41,3,8,19,Docker,spark-base
2,2,0.4417,0,1,5,57,Travis,java
3,2,0.4726,0,7,24,42,Travis,chrome-headless-browser
2,2,0.5516,17,1,54,19,Docker,fedora
1,2,0.7265,575,1,17.3333,8,Docker,java
4,2,0.7498,0,15.2857,36,32,Travis,ubuntu
4,2,0.7568,0,1,8,134,Circle,debian
6,2,0.8634,199,7.4138,38.6897,42,Docker,d-apache-openssl
16,2,0.9345,0,2,20.4286,1123,Circle,centos
2,2,0.9963,0,1,5,40,Circle,scratch
4,2,1.1459,0,4.3333,12,131,Travis,centos
4,2,1.1784,0,8.1818,24,110,Circle,ubuntu
2,2,1.4688,32,1.4286,12,42,Docker,node
3,2,1.5431,0,1,8,38,Circle,ruby-base
1,2,1.5897,0,5,20,69,Circle,node
7,2,1.6989,0,9,35,83,Circle,restweb
1,2,1.8891,16,18,40,8,Docker,ubuntu
5,2,1.9786,0,1,2,93,Travis,nginx
8,2,2.0159,0,9.9474,18.9474,63,Circle,stage3-amd64
15,2,2.4782,0,2,5.5,40,Circle,result-processing
2,2,2.8878,0,3,13,47,Travis,java
4,2,3.3336,0,2.6667,10.3333,103,Circle,maven
25,2,3.464,0,0,8,996,Travis,node
1,2,3.4829,0,6,32.625,222,Circle,base-jdk
5,2,3.7364,20,7.0714,37.5714,34,Docker,java
9,2,4.1889,0,5.5,7,35,Circle,ubuntu
2,2,4.8695,0,0,6.25,110,Circle,golang
9,2,6.0182,129,13,21.5,141,Docker,debian
4,2,7.0563,0,3,18,130,Circle,alpine-base
45,2,7.0611,0,1,9,684,Circle,basejava
7,2,7.6219,0,28.1111,63,174,Circle,ubuntu
7,2,7.9905,0,3,8,244,Circle,basebottle
5,2,8.0164,0,3.5714,37.2857,197,Travis,ubuntu
12,2,8.0457,0,1.5,7.5,128,Travis,node
2,2,11.2416,47,10.2857,79.8571,43,Docker,ubuntu
6,2,12.0208,0,0.6667,5.7778,114,Circle,tomcat
3,2,13.8373,0,2,9,75,Circle,node
6,2,16.1885,0,5,38.3333,210,Circle,golang
3,2,16.2142,347,4.5556,5.1111,32,Docker,nginx
1,2,19.93,0,0,17,88,Circle,alpine
1,2,20.3874,0,2,7,31,Circle,java
14,2,20.9747,0,2,8.5,69,Circle,alpine
4,2,21.8894,0,2,5,364,Circle,alpine
131,2,23.0597,0,2,6.6667,4106,Circle,alpine
10,2,23.1062,143,1,35,239,Docker,ubuntu
54,2,23.8922,0,1,5,323,Travis,openjdk
4,2,23.9849,39,1,6,49,Docker,golang
6,2,25.0027,0,1,7,81,Circle,nodejs
19,2,25.0743,0,3,5,323,Circle,nginx
39,2,27.9552,0,1,9,111,Travis,python
2,2,29.3739,0,2,20.1875,1289,Circle,centos
1,2,30.8583,1000,6,14,4,Docker,debian
18,2,33.9518,0,2,5,98,Circle,node
41,2,36.036,0,0,4,1208,Circle,alpine
13,2,37.9017,0,1,8,82,Circle,nodejs
1,2,37.9263,0,2,7,133,Travis,nginx-template-image
2,2,37.9807,0,4,14,108,Circle,baseimage
6,2,39.0562,0,2,14,701,Circle,slidehub-base
1,2,54.1992,0,0.8571,6.7143,272,Circle,parkmap
47,2,60.9955,0,0,7.75,376,Travis,alpine-node
6,2,62.9529,0,3,17,166,Circle,python
2,2,62.9792,0,2,19.6667,51,Circle,base
7,2,64.2844,0,2,10,164,Travis,alpine-node
17,2,64.9491,0,10,32.4,1606,Circle,ubuntu
12,2,70.3905,0,2.4,7,179,Travis,docker-rails
3,2,71.8883,0,1,49.5,285,Circle,fedora
7,2,72.5254,0,1.5,7,55,Circle,erlang18
10,2,73.0325,0,2,4.4,577,Travis,nginx
7,2,75.0452,0,1,10,302,Travis,java
15,2,76.1552,0,6,66.7143,71,Circle,base
1,2,82.9521,0,1,6.6667,927,Travis,lewis-depends
2,2,87.0817,0,1,7,51,Travis,rust
8,2,92.7464,0,1,25.4444,924,Travis,fpm-nginx
7,2,94.7589,0,3,22,293,Circle,core-box
28,2,97.927,0,9.5,15,111,Circle,baseimage
4,2,98.0739,0,4,17,55,Circle,node
2,2,110.1,0,1.25,14.75,1273,Circle,alpine-build
2,2,110.195,0,0.75,38.75,386,Circle,python
