nErrorBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
1,0,0.0083,13,1.5,10,7,Docker,node
8,0,0.0083,40,6.5,18.4,33,Docker,python
3,0,0.0086,24,5,10,6,Docker,ubuntu
6,0,0.0086,0,11.25,19.25,852,Circle,docker-perl-app-base
4,0,0.0091,0,6.3636,34,42,Travis,ubuntu
2,0,0.0097,48,2,3,54,Docker,cedarish
12,0,0.0097,22,1,7,5,Docker,ubuntu
19,0,0.0101,77,6.2143,21.8571,35,Docker,base-debian
2,0,0.0104,133,4,7,3,Docker,ubuntu
18,0,0.0107,31,1,32.6667,31,Docker,debian
2,0,0.011,13,1.3333,8.6667,15,Docker,centos
5,0,0.0113,0,1,9,39,Circle,golang
1,0,0.0129,804,1,6,3,Docker,aspnet
5,0,0.0132,151,2.25,18.625,11,Docker,centos
15,0,0.0132,35,1,38.6346,124,Docker,alpine
70,0,0.0133,0,1,3,158,Circle,jessy
12,0,0.0139,0,1,21,6,Travis,python
2,0,0.0139,13,5.8333,5,14,Docker,ubuntu
6,0,0.0142,17,3.1429,9.5714,10,Docker,debian
1,0,0.0147,12,2.9091,4.8182,12,Docker,debian
15,0,0.0156,46,6.2308,36.8462,36,Docker,alpine
2,0,0.0162,0,1,12,23,Circle,node
1,0,0.0163,17,5,31.5,11,Docker,alpine
1,0,0.0164,108,1,15.6667,16,Docker,alpine
2,0,0.0164,49,5,10.75,4,Docker,baseimage
15,0,0.0165,26,1,44.375,41,Docker,openjdk
3,0,0.0171,21,6.5385,13.7692,29,Docker,ubuntu
22,0,0.0172,57,1.1765,8.1765,24,Docker,centos
7,0,0.0172,30,1,14.5714,19,Docker,docker-yafrabase
5,0,0.0177,0,5.5714,12.7857,32,Travis,fedora
4,0,0.0183,15,5.8333,7.1667,13,Docker,oracle-java
2,0,0.02,28,0.7857,11.7143,22,Docker,java
4,0,0.0208,19,6,24,2,Docker,server-jre-8
1,0,0.0212,77,4,15,3,Docker,alpine
4,0,0.0216,25,2.9,17.4,29,Docker,fedora
2,0,0.0217,18,2.8889,50.1111,23,Docker,baseimage
15,0,0.022,0,2,32.3333,36,Travis,alpine
1,0,0.0233,118,5,6,21,Docker,debian
35,0,0.0237,0,0,1.5,229,Circle,meteord
1,0,0.0253,12,2,11,8,Docker,alpine
5,0,0.0258,32,4.6667,15.3333,34,Docker,ubuntu
2,0,0.0278,0,4,11.25,20,Travis,python
3,0,0.0282,17,4.8,24.8,5,Docker,ubuntu
2,0,0.0282,0,1.5,5.625,24,Travis,alpine
11,0,0.0287,88,1.7647,15,19,Docker,nodejs
2,0,0.0296,31,1,16.6,38,Docker,alpine
