nSuccessBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
6,0,0.0032,24,5.5,9.875,21,Docker,centos
6,0,0.0035,12,1,5,1,Docker,node
6,0,0.0043,22,3.5,12,22,Docker,nginx-php-fpm
6,0,0.0048,12,1,26,7,Docker,atlassian-base
6,0,0.0049,12,2,26,12,Docker,ubuntu
6,0,0.0083,13,1.5,10,7,Docker,node
6,0,0.0097,22,1,7,5,Docker,ubuntu
6,0,0.0106,542,6,10,3,Docker,ubuntu
6,0,0.0114,35,4.6667,41.3333,10,Docker,systemuser
6,0,0.0129,804,1,6,3,Docker,aspnet
6,0,0.0143,18,2.3333,9,8,Docker,maven-test
6,0,0.0155,0,2,17,9,Travis,rpi-alpine
6,0,0.0171,21,6.5385,13.7692,29,Docker,ubuntu
6,0,0.0183,15,5.8333,7.1667,13,Docker,oracle-java
6,0,0.0203,22,6.5,21,16,Docker,baseimage
6,0,0.0278,0,4,11.25,20,Travis,python
6,0,0.028,48,1,2,65,Docker,mu-ruby-template
6,0,0.0299,0,0,3.8333,26,Travis,alpine-oraclejdk8
6,0,0.037,41,4.25,25.75,37,Docker,java
6,0,0.0386,69,1,10,34,Docker,baseimage
6,0,0.0655,21,5.125,16.625,15,Docker,centos
6,0,0.1092,19,5.4,10.6,18,Docker,nginx
6,0,0.709,0,0,8.8571,48,Circle,node
6,0,0.7877,12,7.1111,35.3333,18,Docker,baseimage
6,0,3.7364,20,3.4737,21.8947,34,Docker,java
6,0,10.3687,21,4,12,10,Docker,ubuntu
6,0,10.8772,0,0.4,4.8,62,Circle,java
6,0,18.5043,19,11,29.5,27,Docker,ubuntu
6,0,50.2294,0,0,3,86,Travis,python
6,0,64.0072,13,5.75,22.75,11,Docker,baseimage
6,0,65.8406,15,0,1,34,Docker,node
6,0,82.3704,0,0,8,71,Circle,node
6,0,149.07,0,6,10.6667,54,Circle,ubuntu
6,0,151.209,27,9.6,40.6,171,Docker,ubuntu
6,0,218.159,0,4.5833,14.6667,211,Travis,haproxy
6,0,243.077,11,5.375,19,20,Docker,debian
6,0,265.887,0,4.25,15.5,47,Circle,core-box
6,0,341.808,0,0.25,3,50,Circle,scratch
6,0,342.655,0,3,7,275,Circle,meteor-base
6,0,353.155,110,7,6,489,Docker,anaconda
6,0,386.751,23,4,22.7778,26,Docker,base
6,0,539.112,0,5,9.5,108,Circle,node
6,0,540.94,0,1.5,5,176,Travis,openjdk
6,0,672.059,25,3.2857,15.2857,196,Docker,node
6,0,955.066,0,2,7,609,Circle,node
6,0,1575.08,0,0,14,988,Circle,python
7,0,0.0006,14,3,6.6667,17,Docker,ruby
7,0,0.0017,63,7,38.75,17,Docker,baseimage
7,0,0.0022,27,11,18.25,27,Docker,golang
7,0,0.0023,18,1,2,12,Docker,mcollectived
7,0,0.0034,39,1,24.5,30,Docker,alpine
7,0,0.0038,16,1.6667,14.1667,11,Docker,centos
7,0,0.0044,23,5,11.6667,14,Docker,ubuntu
7,0,0.0047,81,4.6,23,15,Docker,jenkins
7,0,0.0053,84,6,14,12,Docker,docker-bitrise-base
7,0,0.0064,111,0,2,4,Docker,rabbitmq
7,0,0.0431,19,1,3,24,Docker,python
7,0,0.0477,13,2,14,15,Docker,golang
7,0,0.0561,0,1,115.5,12,Travis,php
7,0,0.0703,25,13.28,61.4,84,Docker,maven
7,0,0.1314,20,2.875,11,18,Docker,jnlp-slave
7,0,0.1705,24,2,13.25,16,Docker,alpine
7,0,0.3114,0,2.5,16,91,Circle,debian
7,0,0.3279,21,1.8571,3.1429,17,Docker,busybox
7,0,0.5516,17,1,54,19,Docker,fedora
7,0,0.5561,0,6.2195,20.8537,140,Travis,apache-php
7,0,0.7568,0,2.8,17.8,134,Circle,debian
7,0,0.8629,25,3.3333,15.3333,36,Docker,perl-golang
7,0,1.1321,0,2.8421,6.4737,82,Circle,python
7,0,1.8891,16,18,40,8,Docker,ubuntu
7,0,2.4809,14,0,3.6667,14,Docker,golang
7,0,3.3336,0,2.6667,10.3333,103,Circle,maven
7,0,4.1889,0,3.5,3.3333,35,Circle,ubuntu
7,0,4.7586,23,5.6667,62.6667,13,Docker,centos-r-base
7,0,7.7354,0,1,32,48,Travis,alpine
7,0,76.2529,0,1,4.2857,48,Circle,alpine
7,0,131.033,0,1,6.5,47,Travis,node
7,0,141.097,262,6.9091,8.4545,515,Docker,python
7,0,170.01,0,3.15,21.8,277,Circle,ubuntu
7,0,220.475,0,3.8,8.4,609,Circle,meteor-base
7,0,286.854,0,2,5,355,Travis,busybox
7,0,342.094,26,9.9048,36.619,63,Docker,nginx
7,0,378.905,0,2.6667,16.6667,293,Travis,node-chrome
7,0,394.062,0,3,5,68,Circle,None
7,0,544.72,0,4.75,12.5,657,Circle,meteor-base
7,0,769.139,0,12,29.5,451,Travis,base
