github_repo,workflow,builds
srvz/jenkins-master,Docker,17
stamen/toner-carto,Circle,12
StamusNetworks/scirius-docker,Docker,118
stanaka/docker-mackerel-agent,Docker,73
stawidy/telegram2irc-bot-docker,Docker,16
STEllAR-GROUP/docker_build_env,Circle,11
STEllAR-GROUP/hpx,Circle,2828
stephenliang/hexo-dockerfile,Docker,290
stevearc/pypicloud-docker,Docker,65
sth35web/formationdocker,Docker,11
stitchfix/resque-brain,Circle,104
strtdusty/alpinespa,Docker,15
STSILABS/epa-lake-demo,Circle,22
STSILABS/fda-sandbox,Circle,42
stuartalexwhitehead/haar-api,Travis,40
stuartshay/NavigatorMaps,Circle,37
suikawiki/swdata,Circle,1020
sumpfgottheit/docker-elk,Docker,64
sunckell/SkynetTwitterAggregator,Travis,30
sutoiku/elasticsearch-stoic,Docker,24
swagger-api/validator-badge,Travis,50
swiDeveloperStudio/spm-builder,Docker,18
swissarmykirpan/containersCI,Circle,15
synopsisdevs/docker-nginx,Docker,167
Synthetic-Centaur/Oink,Circle,106
t3g7/deployer,Travis,32
tail/dotfiles,Docker,11
tatsy/docker-ubuntu-cxx,Travis,33
teamartemis/foreverboards,Circle,81
TeamWorkSI/docker-itop,Docker,11
tenstartups/ambassador-docker,Docker,100
teracyhq/docker-files,Travis,270
TerrenceMiao/camel-spring,Travis,85
Tetius/YooThubFrontend,Travis,18
thanhson1085/angular-admin-seed,Docker,98
theborakompanioni/hive,Travis,46
theborakompanioni/vishy-server,Travis,24
thefactory/docker-marathon,Docker,138
thegameofcode/resonator,Circle,11
thelazier/docker-p2pool-dash,Docker,13
thepauleh/jenkins-nvm,Docker,170
thingless/viewshed,Circle,39
thisissoon/angular-start,Circle,67
thisissoon/angular2-start,Circle,88
thisissoon/thisissoon-frontend,Circle,174
thisissoon/user-service,Circle,39
thouveng/hello-docker,Docker,10
ticosax/nginx-in-docker,Docker,16
TimWSpence/docker-debugger,Travis,15
titan-x/titan,Travis,57
tkqubo/codeclimate-tslint,Circle,51
tobegit3hub/pirate,Docker,53
toedter/chatty,Travis,85
toniher/seqservice,Docker,55
towicode/photometrypipeline-singularity,Docker,10
tozd/docker-sympa,Docker,764
TrafeX/docker-php-nginx,Travis,40
tramasoli-docker/centos6-ssh,Docker,11
triforkse/mesos-ui,Travis,51
tunght13488/docker-alpine,Docker,94
tvaughan/docker-shout,Docker,12
Twnel/genesys-crawler,Circle,34
typingincolor/galen-web,Circle,24
u6k/blog,Circle,15
UCSC-MedBook/MedBook-CRFs,Circle,13
UCSC-MedBook/MedBook-Fusion5,Circle,32
UCSC-MedBook/MedBook-Gateway,Circle,31
UCSC-MedBook/MedBook-JobRunner,Circle,100
UCSC-MedBook/MedBook-Telescope3,Circle,16
UCSC-MedBook/MedBook-Wrangler,Circle,41
ukwa/docker-heritrix,Docker,12
ulrichSchreiner/ansible-docker,Docker,33
ulrichSchreiner/carpo,Docker,24
unibet/docker-gocd-agent,Docker,19
unixtastic/bind-DNSSEC-resolver,Docker,19
unsalted/docker-nheqminer-cuda,Docker,67
unsinkablecircus/opengallery,Circle,44
urlgrey/mythpodcaster,Circle,19
urzds/ipmitool-docker,Travis,18
uwcirg/true_nth_usa_portal,Travis,2799
veyesecurity/phoronix-docker,Docker,12
ViBiOh/angular-bp,Travis,83
ViBiOh/docker-nginx,Travis,22
ViBiOh/docker-node,Travis,22
ViBiOh/docker-php,Travis,17
ViBiOh/docker-wordpress,Travis,19
vincent-noel/SigNetSim-Dockers,Travis,24
vitecde/rabbitmq-service,Docker,111
vixns/docker-fluentd,Docker,23
vjclasgens/vjc-personal-website,Circle,10
vlavad/systemd-nuc-http,Docker,23
VojtechBartos/diceware-www,Docker,17
VojtechBartos/smsgw,Circle,19
voriux/mysqlproxy-docker,Docker,47
vshalts/docker-emailrelay,Docker,36
wader/hugo-dropbox,Docker,77
wakaba/suikacvs,Circle,369
wakaba/suikaweb,Circle,435
WarriorMachines/warriormachines-laravel,Circle,20
WarriorMachines/warriormachines-phpbb,Circle,43
weaveworks/build-tools,Circle,47
weaveworks/flux,Circle,892
weaveworks/scope,Circle,3373
Webconverger/Debian-Live-config,Travis,12
webdevops/go-syslogd,Docker,24
webgpu/ece408project,Docker,70
webitel/acr,Travis,93
webitel/cdr,Travis,21
webitel/engine,Travis,242
wellington/wellington,Circle,270
whalebone/sinkit-core,Circle,22
wisdom-framework/wisdom-docker,Docker,29
wizbii/docker-php,Docker,237
wlanslovenija/firmware-core,Docker,219
Woorank/pdf-reactor,Circle,28
wpscanteam/VulnerableWordpress,Docker,375
xabufr/pandoc-latex-make-docker,Docker,12
xacaxulu/RailsDockerVagrantDevKit,Travis,20
xiaoyawl/docker-activemq,Docker,26
xxaxxelxx/xx_loadbalancer,Docker,120
y0ug/docker_spidervnc_worker,Docker,14
yabawock/dokku-alt-postgresql,Docker,30
yafraorg/docker-yafrajava,Docker,16
yagajs/docker-postgis,Docker,120
yantis/docker-archlinux-ssh-hpn,Docker,33
yantis/docker-instant-disposable-chrome,Docker,37
yarpc/yarpc-java,Travis,1194
yarpc/yarpc-node,Travis,270
yarpc/yarpc-python,Travis,360
ycayer/sagetv-unraid,Docker,11
yeasy/docker-hyperledger,Docker,134
YetAnotherTeam/jatumba-backend,Travis,31
yorrick/download-data,Travis,63
yugesha/wfpgpojowar,Docker,31
yuki-toida/stock_scraping_batch,Docker,24
yukinying/chrome-headless-browser-docker,Travis,173
Z-Hub/kopano-mattermost,Docker,18
zaggash/docker-filerun,Docker,21
zazujs/mufasa,Circle,21
zchee/vimhelp-jp-submodules,Docker,21
ZenikaOuest/Democratie_Liquide,Circle,14
ZenikaOuest/Democratie_Liquide_Front,Circle,14
zeroc0d3/nginx-unicorn-rails,Docker,11
ZJGSU-Open-Source/docker-oj,Circle,15
ZopNow/docker-lamp-stack,Docker,11
ZPI-Scott/lftp,Docker,42
Zuehlke/poinz,Travis,40
zwh8800/starbucks,Travis,10
